 Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,Smodel,Xmodel,3Model,UnknownModel, AutoPilot claimed , Verified Tesla Autopilot Death 
1,0,0,0,1,1,1,0,0,0,0,0
1,0,0,0,1,1,0,1,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1,0,0,0
2,0,0,2,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
2,1,1,0,0,2,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
2,0,0,2,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1,0,0,0
2,0,0,2,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0,1,0,1,0
1,0,1,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,1,0,1,1
1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0
1,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0
2,0,2,0,0,2,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0
2,0,0,2,0,0,0,1,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0
2,1,1,0,0,2,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,1,1
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0
1,0,1,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0
2,1,1,0,0,2,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,0,1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,1,1
1,0,0,0,1,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0,1,1
1,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0
3,0,0,3,0,0,0,0,0,1,0,0
1,0,0,0,1,1,0,0,0,1,0,0
2,0,0,2,0,0,1,0,0,0,0,0
